24 84,104 95,104 89,126 100,125
10 96,104 107,103 100,125 112,125
28 109,103 122,103 113,125 125,125
4 127,102 139,102 130,125 142,125
9 141,102 154,101 143,125 156,125
8 156,101 170,101 158,125 171,125
2 171,101 186,100 172,125 186,125
plate 81,95 189,89 89,131 189,131
29 207,264 235,269 191,336 223,338
29 237,269 264,274 225,338 255,339
11 266,274 290,278 257,339 282,340
0 300,280 321,283 293,341 317,342
4 323,283 341,287 318,342 339,343
1 344,287 361,290 341,343 359,344
1 362,290 378,293 361,344 378,345
plate 208,238 383,275 182,358 383,360
