10 81,364 92,362 76,386 88,386
18 93,362 105,361 89,386 101,385
10 106,360 120,359 102,385 116,385
1 127,358 142,356 123,385 139,384
4 144,355 162,353 141,384 160,383
7 164,353 184,350 162,383 183,383
8 187,350 210,347 186,383 210,382
plate 81,355 218,332 74,393 218,392
14 256,264 272,262 247,300 264,299
30 274,262 292,260 265,299 284,299
30 294,259 313,257 286,299 306,298
0 323,256 346,254 316,298 340,297
2 348,253 372,251 342,297 367,296
0 375,250 402,248 370,296 399,295
0 404,247 434,244 401,295 433,294
plate 257,251 443,225 242,310 443,309
