11 56,337 79,339 41,392 66,392
22 81,339 103,340 68,392 93,393
27 105,340 126,342 95,393 117,393
9 135,342 155,344 128,393 149,394
4 156,344 176,345 151,394 172,394
9 177,345 195,346 174,394 193,395
4 198,346 215,347 196,395 214,395
plate 60,318 219,331 33,409 219,410
10 195,17 204,15 183,35 192,35
22 204,15 214,13 193,35 203,34
22 215,13 226,10 203,34 215,33
1 232,9 246,7 221,33 235,32
5 247,6 264,3 237,32 255,31
0 266,2 286,0 257,31 279,29
9 289,-1 314,-6 282,29 311,28
plate 199,10 322,-19 179,41 321,39
