10 74,422 84,420 66,446 77,445
19 86,420 98,419 78,445 90,445
33 98,419 111,418 91,445 105,444
3 117,417 131,415 111,444 125,444
1 132,415 147,414 127,444 143,443
0 149,413 166,412 145,443 164,443
8 167,411 186,409 165,443 186,442
plate 76,413 191,397 62,453 191,452
27 279,164 288,165 271,189 282,189
32 289,165 300,165 283,189 294,189
14 301,166 310,166 295,189 306,190
4 314,166 323,167 310,190 320,190
0 324,167 333,167 321,190 331,190
2 334,167 342,168 332,190 341,190
0 343,168 352,168 342,190 352,190
plate 280,157 354,161 268,195 353,196
