16 49,312 72,311 67,352 87,352
23 74,310 98,309 89,352 112,352
25 100,309 124,308 114,352 137,351
6 136,307 164,306 147,351 173,351
0 166,305 194,304 175,351 201,351
5 197,304 227,302 204,351 231,350
8 230,302 261,300 234,350 262,350
plate 39,294 270,277 68,362 271,362
26 369,19 384,22 360,61 377,61
18 387,22 401,25 380,61 395,62
28 403,25 416,27 397,62 412,63
5 422,28 434,30 418,63 431,64
2 435,31 446,32 432,64 444,64
7 446,32 456,34 445,64 455,65
6 458,34 466,36 457,65 466,65
plate 369,5 469,26 354,73 469,74
