18 53,119 79,122 36,183 65,184
24 81,122 107,124 68,184 96,185
28 109,125 131,127 98,185 123,186
9 141,128 163,131 134,186 157,187
7 164,131 184,133 159,187 180,188
8 186,133 205,135 183,188 203,188
7 206,135 223,137 204,188 223,189
plate 56,96 228,119 27,203 228,204
17 392,175 406,177 388,208 403,209
12 407,177 421,179 404,209 418,209
28 423,179 435,180 420,209 433,210
1 440,181 451,182 438,210 449,210
8 451,182 462,184 450,210 461,211
4 463,184 473,185 463,211 472,211
6 474,185 483,186 473,211 483,211
plate 393,163 485,177 385,218 485,219
