16 52,106 74,107 57,153 79,153
25 76,107 98,108 81,153 102,153
25 100,108 121,109 104,153 124,154
0 129,110 149,111 132,154 151,154
4 151,111 170,112 153,154 171,154
6 172,112 190,113 173,154 191,154
8 192,113 210,113 193,154 210,155
plate 47,88 215,98 56,164 215,164
12 296,38 310,36 288,69 302,68
18 311,36 328,34 303,68 320,68
18 329,33 347,31 322,67 340,67
2 356,29 379,26 349,66 372,65
4 380,26 405,22 374,65 400,64
7 408,22 437,17 403,64 434,63
4 440,17 473,12 436,63 472,61
plate 297,27 484,-7 284,78 484,76
