23 87,354 104,356 79,395 96,395
15 106,356 122,357 98,395 116,396
11 123,358 138,359 117,396 134,396
7 145,359 158,361 141,396 155,397
0 160,361 173,362 157,397 171,397
5 174,362 187,363 172,397 186,397
2 188,363 200,364 187,397 200,398
plate 88,340 203,353 73,407 203,408
28 72,245 88,247 74,281 91,281
32 90,248 105,250 92,281 106,282
33 107,250 121,252 109,282 122,282
6 126,252 138,254 127,282 139,283
3 139,254 150,256 140,283 151,283
5 152,256 162,257 152,283 162,284
2 163,257 172,259 163,284 172,284
plate 69,230 174,249 74,290 174,291
