32 74,367 85,365 79,387 90,387
14 86,365 99,364 91,387 103,387
29 99,364 113,362 104,387 118,386
6 120,361 135,360 124,386 139,386
8 137,360 154,358 141,386 157,385
9 157,357 177,355 159,385 179,385
3 179,355 202,352 180,385 203,384
plate 70,358 208,338 79,393 209,392
12 393,475 410,476 402,510 417,510
14 412,476 428,477 420,510 434,510
12 430,477 447,478 436,510 452,511
9 454,479 469,480 458,511 472,511
8 470,480 484,481 473,511 487,511
5 485,481 499,482 488,511 501,511
8 501,482 514,482 502,511 514,511
plate 386,460 517,471 402,519 517,519
