32 81,400 88,399 84,414 91,414
24 89,399 98,398 92,414 100,414
11 99,398 108,397 101,414 110,414
3 112,396 122,395 114,414 124,413
2 123,395 136,394 125,413 137,413
5 137,394 149,393 138,413 150,413
3 151,393 166,391 151,413 166,412
plate 79,394 169,382 83,418 169,417
20 159,315 169,313 148,337 158,337
29 170,313 182,311 159,337 171,336
29 184,310 197,308 173,336 187,335
9 204,306 221,303 194,335 212,334
6 223,303 244,299 214,334 236,332
0 246,299 271,294 238,332 265,331
4 274,293 306,287 268,331 304,329
plate 162,307 315,272 144,344 313,342
