22 227,283 243,284 237,316 251,316
11 246,284 261,284 254,316 268,316
16 263,285 280,285 270,316 285,316
6 286,285 302,286 291,316 306,317
7 303,286 318,287 307,317 320,317
7 319,287 333,287 321,317 335,317
7 335,288 348,288 337,317 349,317
plate 220,269 352,276 237,324 352,324
23 55,153 71,152 69,182 84,182
13 73,151 90,150 86,182 102,182
17 92,150 111,149 104,182 121,181
9 119,148 140,146 129,181 148,181
8 142,146 165,144 150,181 171,181
1 167,144 192,142 173,181 196,180
3 194,142 221,140 198,180 222,180
plate 48,141 228,123 71,189 229,188
