15 89,426 109,425 75,473 97,473
15 112,425 133,423 100,473 122,472
18 135,423 158,422 124,472 148,472
1 168,421 192,420 159,472 185,471
9 195,420 219,418 188,471 214,471
9 221,418 247,417 216,471 244,471
8 250,417 277,415 247,470 276,470
plate 92,409 285,395 69,487 284,487
16 311,226 324,224 304,254 318,253
20 326,224 341,222 319,253 334,252
33 342,222 358,220 336,252 353,252
7 366,219 385,216 360,252 380,251
8 387,216 408,213 382,251 405,250
2 411,213 435,210 407,250 432,249
2 437,209 465,206 435,249 465,248
plate 312,215 473,189 301,262 472,260
