18 246,447 274,451 237,510 266,511
10 276,451 301,454 269,511 295,512
32 303,454 325,457 297,512 321,513
8 336,458 356,461 332,513 353,514
8 357,461 377,464 355,514 375,515
8 378,464 396,466 377,515 395,515
6 398,466 414,468 397,515 414,516
plate 248,423 418,451 232,529 418,530
19 54,35 73,34 62,70 80,70
18 74,34 94,33 81,70 101,70
29 96,33 117,31 102,70 122,69
8 126,31 148,30 131,69 152,69
7 150,30 174,28 154,69 177,69
3 176,28 200,27 179,69 202,68
9 203,27 229,26 204,68 229,68
plate 49,20 235,7 62,79 235,79
