16 60,438 87,441 44,505 74,506
18 89,442 115,445 77,506 105,507
32 117,445 140,448 107,507 132,508
8 150,449 172,452 143,509 167,509
0 174,452 193,455 169,509 190,510
9 195,455 213,457 192,510 212,511
6 215,458 232,460 213,511 231,511
plate 62,414 237,442 35,526 236,527
15 343,385 352,384 350,402 359,402
32 353,384 364,383 360,402 370,402
22 366,383 377,382 372,402 383,402
9 382,381 395,380 387,402 400,401
1 396,380 410,379 401,401 414,401
7 413,379 428,378 416,401 430,401
6 429,378 446,376 431,401 447,400
plate 339,377 451,365 351,407 451,406
