23 131,156 157,157 126,214 152,214
25 159,158 185,159 154,214 181,214
22 187,159 210,160 183,214 207,214
2 221,160 245,161 218,215 243,215
6 247,161 269,162 245,215 268,215
8 272,162 294,163 271,215 293,215
0 295,163 317,164 295,215 316,216
plate 130,135 323,145 121,230 322,230
31 62,292 83,293 50,340 73,340
31 85,293 105,294 75,341 97,341
21 107,294 127,295 99,341 120,341
8 135,295 154,296 129,341 149,341
5 156,296 174,297 151,341 171,342
3 176,297 194,298 173,342 192,342
8 195,298 213,299 194,342 212,342
plate 64,275 217,283 44,355 217,355
