21 82,345 97,344 86,376 101,375
14 99,344 115,343 103,375 119,375
33 117,342 134,341 121,375 138,375
9 142,340 161,339 145,375 164,374
8 164,339 185,337 166,374 187,374
8 187,337 210,335 189,374 211,373
1 212,335 237,333 213,373 237,373
plate 78,334 243,317 86,383 244,382
21 110,249 116,248 116,259 122,259
24 117,248 124,248 123,259 129,259
30 124,248 131,247 129,259 137,258
0 135,246 144,245 140,258 149,258
6 145,245 155,244 150,258 159,258
8 156,244 169,242 160,258 171,257
7 170,242 184,240 173,257 185,257
plate 107,245 189,230 117,261 190,261
