27 192,106 211,104 176,148 196,147
21 213,104 233,102 198,147 219,147
14 234,102 255,100 220,147 243,146
2 265,99 288,97 254,146 278,145
1 291,96 316,94 281,145 308,144
6 318,94 345,91 311,144 340,144
0 348,91 377,88 343,143 376,143
plate 196,91 385,68 169,161 385,160
14 35,358 47,357 23,384 36,384
33 47,357 60,356 36,384 50,383
23 61,355 75,354 51,383 65,383
9 81,353 96,351 73,383 89,382
4 98,351 114,349 90,382 108,381
5 116,349 134,347 110,381 130,381
2 136,347 156,344 133,381 155,380
plate 38,349 162,331 18,392 162,391
