13 42,450 64,451 35,499 59,500
17 67,451 88,452 61,500 84,500
15 90,452 111,454 86,500 107,501
1 120,454 139,455 116,501 137,501
4 141,455 160,456 139,501 158,501
5 162,456 180,457 160,501 179,502
4 182,458 199,459 181,502 199,502
plate 42,431 204,443 31,514 203,515
12 106,292 130,293 114,339 137,340
22 132,293 156,294 139,340 161,340
13 158,294 181,294 164,340 185,340
0 191,295 213,295 195,340 216,340
7 215,296 237,296 218,340 239,340
7 239,296 260,297 241,340 261,341
4 262,297 282,298 263,341 282,341
plate 100,272 287,280 113,352 287,352
