28 226,188 233,186 218,205 226,205
29 234,186 244,184 227,204 236,204
19 244,184 255,182 237,204 248,203
9 260,181 273,179 253,203 266,202
7 274,179 289,176 268,202 284,201
6 291,175 311,172 286,201 307,200
5 312,171 337,167 308,200 335,199
plate 228,182 344,155 215,210 343,209
28 78,92 88,91 73,115 84,115
19 90,90 102,89 85,115 98,114
20 102,89 116,88 99,114 112,114
6 122,87 136,85 118,114 133,113
9 138,85 153,84 135,113 151,113
6 155,83 173,81 153,113 172,112
0 174,81 194,79 173,112 194,112
plate 78,83 200,66 70,122 200,121
