26 33,69 54,68 39,108 59,108
33 56,68 77,67 60,108 81,108
23 79,67 100,66 83,108 104,108
7 111,65 134,64 115,107 137,107
2 136,64 161,63 139,107 163,107
8 163,63 188,61 165,107 189,106
0 192,61 218,60 193,106 218,106
plate 29,53 225,40 38,119 226,118
13 353,167 373,168 362,208 380,209
10 375,168 395,170 383,209 401,209
33 397,170 415,172 402,209 420,210
3 423,172 439,174 427,210 442,210
7 441,174 456,175 444,210 458,210
6 458,175 473,177 460,210 474,211
2 474,177 488,178 475,211 489,211
plate 346,148 492,164 361,219 492,219
