12 364,85 389,88 369,137 394,137
19 391,88 414,92 395,137 417,138
21 415,92 436,95 418,138 438,139
0 444,96 461,98 446,139 463,140
5 463,98 479,101 465,140 480,140
9 481,101 495,103 482,140 495,141
4 497,103 510,105 497,141 510,141
plate 358,61 513,90 368,150 513,151
15 45,48 68,47 61,88 82,88
14 70,47 93,46 84,88 105,87
13 95,46 118,45 107,87 129,87
6 130,45 154,44 140,87 162,87
0 156,44 183,42 164,87 189,87
6 185,42 212,41 191,87 215,86
4 215,41 243,40 218,86 244,86
plate 36,30 250,18 63,98 251,97
