10 63,149 82,149 53,191 73,191
32 84,148 104,148 74,191 95,191
17 105,148 125,147 97,191 118,190
2 135,146 155,145 128,190 150,190
4 157,145 179,144 152,190 175,190
6 181,144 202,143 177,190 200,189
3 205,143 228,142 203,189 227,189
plate 66,134 234,124 48,203 234,203
33 170,359 185,357 181,385 196,385
18 186,357 203,356 197,385 213,385
11 204,356 222,355 213,385 230,385
8 230,354 249,353 238,385 255,384
6 251,353 271,352 257,384 276,384
9 273,352 294,350 278,384 298,384
1 297,350 320,348 300,384 321,383
plate 163,346 327,331 182,392 328,392
