23 252,282 263,283 246,309 258,309
33 264,283 275,284 259,309 271,309
20 276,284 286,285 272,309 282,309
0 290,285 299,286 287,310 297,310
4 300,286 309,287 298,310 308,310
1 310,287 318,287 309,310 317,310
7 319,288 327,288 318,310 327,311
plate 253,273 329,281 243,315 328,316
12 34,302 67,306 46,368 76,369
25 70,307 99,310 79,369 106,370
28 102,311 128,314 109,370 133,371
8 140,315 163,318 145,371 166,372
0 165,318 187,321 168,372 189,372
2 189,321 208,324 191,372 209,373
4 211,324 229,326 212,373 229,374
plate 26,273 233,307 46,385 233,386
