32 42,140 69,142 34,203 63,204
28 71,142 98,145 65,204 93,204
23 100,145 124,147 95,204 120,205
1 135,148 158,150 131,205 155,206
9 160,150 181,152 157,206 179,206
3 184,152 204,154 182,206 203,207
3 205,154 224,155 204,207 224,207
plate 42,116 230,137 28,221 230,222
24 252,370 274,369 259,412 280,412
15 276,369 299,369 282,412 304,412
27 301,369 323,368 306,412 327,412
4 334,368 357,367 338,412 360,412
3 359,367 384,366 362,412 386,411
1 386,366 410,365 388,411 412,411
4 414,365 439,364 415,411 439,411
plate 248,352 445,344 258,424 446,423
