13 113,74 128,73 117,102 132,102
10 129,73 145,72 132,102 148,101
31 145,72 162,71 149,101 165,101
9 170,70 188,69 173,101 190,101
1 190,69 208,67 192,101 210,100
9 211,67 231,66 212,100 232,100
6 233,66 255,64 234,100 255,100
plate 109,62 261,48 116,109 261,109
31 45,181 70,181 59,228 82,228
17 72,182 97,182 84,228 107,228
27 99,182 123,183 109,228 131,228
9 133,183 156,184 141,228 162,228
7 158,184 181,185 164,228 185,228
9 183,185 205,185 187,228 208,228
1 207,185 229,186 210,229 230,229
plate 36,160 234,167 60,239 234,240
