27 94,345 102,344 88,362 96,362
17 103,344 111,343 97,362 105,362
28 113,343 122,342 107,362 117,361
3 126,341 137,340 121,361 132,361
1 138,340 149,338 133,361 146,360
7 151,338 165,336 148,360 162,360
0 166,336 181,335 164,360 180,359
plate 96,339 185,325 85,368 184,367
14 62,75 91,79 72,134 99,135
15 94,79 120,82 101,135 126,135
29 123,82 147,85 129,135 152,136
7 157,86 179,88 161,136 182,137
0 181,88 201,91 184,137 203,137
2 203,91 222,93 205,137 223,138
0 224,93 241,95 224,138 241,138
plate 55,50 245,78 71,149 245,150
