19 33,51 60,53 15,117 45,117
20 63,53 88,55 48,117 76,118
26 90,55 114,57 78,118 105,118
4 125,58 148,60 117,119 141,119
9 151,60 172,62 144,119 168,120
7 174,62 195,63 170,120 192,120
9 197,64 217,65 195,120 216,121
plate 37,28 222,45 6,137 222,138
12 402,79 415,82 398,111 411,112
26 416,82 428,84 413,112 426,113
17 429,84 440,86 427,113 438,113
0 445,87 454,88 443,113 452,114
7 454,88 463,90 453,114 463,114
7 464,90 472,91 464,114 471,115
1 472,91 480,93 472,115 480,115
plate 402,68 481,85 395,119 481,120
