16 82,115 89,115 79,131 86,131
29 90,114 98,114 87,131 95,130
15 99,114 107,113 96,130 104,130
2 112,112 121,111 109,130 118,130
7 122,111 133,110 119,130 131,129
6 134,110 145,109 132,129 144,129
0 146,108 160,107 145,129 160,129
plate 83,110 163,99 77,135 162,134
26 284,379 290,378 280,392 286,392
18 291,378 298,376 287,392 294,391
16 299,376 307,375 295,391 304,391
2 311,374 322,372 308,390 318,390
2 322,372 335,370 319,390 332,389
4 337,369 352,367 334,389 350,388
8 353,367 371,363 351,388 371,387
plate 285,374 377,354 278,396 376,395
