28 46,214 61,213 54,242 70,242
24 63,213 80,211 71,242 88,242
31 82,211 100,209 89,242 107,241
5 109,208 131,206 116,241 136,240
5 133,206 157,203 139,240 161,240
8 159,203 186,200 164,240 189,239
7 189,200 220,197 192,239 221,238
plate 40,203 228,177 55,250 228,249
16 383,278 398,279 386,310 401,310
20 399,279 414,280 402,310 416,310
33 416,281 430,282 418,310 431,311
4 435,282 447,283 436,311 448,311
6 448,283 460,284 449,311 460,311
4 462,285 472,286 462,311 473,312
2 473,286 484,287 474,312 484,312
plate 380,264 486,276 386,318 486,319
