17 52,195 76,197 58,242 80,242
26 77,197 99,199 82,242 103,243
21 100,199 120,201 104,243 123,243
4 129,202 146,204 131,243 148,244
0 148,204 165,205 150,244 166,244
8 167,206 182,207 168,244 183,244
0 184,207 198,208 184,244 198,245
plate 47,174 202,193 57,254 202,254
28 371,309 378,308 368,324 376,323
18 379,308 387,308 376,323 384,323
18 387,308 394,307 384,323 392,323
0 398,307 407,306 396,323 405,323
5 407,306 415,306 406,323 414,323
5 416,306 426,305 415,323 425,323
7 427,305 436,305 426,323 436,322
plate 371,303 439,297 366,328 439,328
