25 59,215 74,213 65,244 80,243
30 76,213 93,210 81,243 99,243
33 95,210 114,207 100,243 119,242
1 124,206 148,203 129,242 153,241
8 150,203 177,199 155,241 181,240
4 181,198 213,194 184,240 215,239
5 215,194 253,189 218,239 254,238
plate 55,203 265,166 65,251 266,250
28 361,261 379,263 367,300 384,300
24 381,263 398,265 386,300 402,301
26 400,265 416,267 404,301 419,301
5 423,268 437,269 426,301 439,302
3 438,269 452,271 440,302 453,302
7 453,271 466,272 454,302 466,302
8 467,272 478,274 468,303 479,303
plate 355,245 482,262 366,310 482,310
