33 82,191 94,190 87,215 99,214
17 95,189 109,188 100,214 114,214
28 111,187 126,185 115,214 130,213
6 133,184 152,182 137,213 155,213
9 154,182 175,179 157,213 178,212
3 178,179 202,175 180,212 204,211
0 205,175 235,171 207,211 235,210
plate 79,182 243,154 87,220 244,219
29 407,76 415,76 402,92 410,92
13 415,75 423,75 411,92 419,92
25 423,75 431,75 419,92 427,91
8 434,75 442,74 431,91 440,91
8 443,74 451,74 441,91 449,91
9 452,74 460,73 450,91 459,91
3 461,73 470,73 460,91 469,91
plate 408,70 473,66 400,97 472,97
