13 70,257 88,259 74,296 91,296
18 90,259 106,261 93,296 109,297
15 109,261 124,263 111,297 126,297
6 131,263 145,265 132,297 146,298
7 146,265 159,266 147,298 160,298
9 160,267 172,268 161,298 173,298
7 174,268 185,269 175,298 185,299
plate 66,241 188,258 73,306 188,306
28 185,394 190,393 189,403 194,403
20 191,393 197,392 194,402 200,402
24 197,392 204,391 200,402 207,402
8 207,390 216,389 211,402 219,402
9 217,389 226,388 220,402 229,401
3 227,388 240,386 230,401 242,401
6 241,386 255,384 243,401 256,401
plate 183,390 261,374 189,405 261,405
