32 159,115 169,113 146,137 156,137
16 170,113 181,111 157,137 168,136
25 182,111 194,108 169,136 182,135
0 200,107 216,104 188,135 204,134
0 217,104 236,100 206,134 226,133
6 238,100 260,96 228,133 253,131
9 262,95 289,90 256,131 287,129
plate 163,108 298,77 142,143 296,141
24 75,174 84,173 83,189 91,189
19 84,173 94,172 92,189 100,188
33 95,172 106,171 102,188 112,188
6 111,170 123,169 117,188 128,188
2 124,169 138,167 129,188 142,187
7 141,167 157,165 145,187 160,187
4 159,165 178,162 161,187 179,186
plate 71,168 183,150 84,193 184,192
