23 365,435 381,434 371,465 387,465
18 382,434 400,433 388,465 404,465
21 401,433 418,432 405,465 422,465
6 427,432 444,431 430,465 447,464
8 447,431 465,430 449,464 467,464
4 467,430 487,429 469,464 488,464
6 489,429 509,428 490,464 510,464
plate 361,421 515,412 370,473 516,473
10 347,275 363,277 350,310 366,310
16 365,277 380,279 367,310 382,311
24 382,279 396,281 384,311 397,311
9 401,282 413,283 402,311 414,312
0 414,283 425,285 415,312 426,312
3 427,285 437,286 428,312 438,312
7 438,286 448,287 439,312 448,313
plate 344,260 450,277 350,319 450,320
