17 15,363 50,369 8,445 44,447
14 54,370 84,375 48,447 80,448
13 86,376 114,380 82,448 111,450
2 125,383 149,387 123,450 147,451
5 152,387 173,391 150,451 172,452
8 175,391 194,395 173,452 193,453
1 196,395 214,398 195,453 214,454
plate 14,331 218,377 2,468 218,470
33 251,140 284,143 258,211 290,211
33 288,144 319,146 294,211 323,212
22 321,147 350,149 326,212 354,213
0 363,150 390,153 366,213 392,213
9 393,153 417,155 395,214 419,214
4 419,155 443,158 421,214 444,215
8 445,158 468,160 446,215 468,215
plate 244,111 473,137 256,229 473,230
