27 76,441 88,442 72,470 85,470
20 89,442 101,444 86,470 99,471
24 102,444 112,445 100,471 111,471
0 117,446 126,447 116,471 125,471
4 127,447 137,448 126,471 136,472
9 138,448 146,449 137,472 145,472
2 146,449 155,450 146,472 154,472
plate 77,431 156,442 70,477 156,478
16 269,133 286,131 282,164 299,164
10 288,131 307,130 301,163 319,163
16 309,130 330,128 321,163 340,163
0 339,127 362,126 349,163 370,162
5 364,126 389,124 372,162 395,162
7 391,124 418,122 397,162 422,161
4 421,121 450,119 424,161 451,161
plate 261,119 457,100 284,172 457,171
