17 280,283 297,282 275,320 293,320
29 299,282 318,281 295,320 314,320
25 319,281 339,280 315,320 335,319
7 347,280 367,279 344,319 365,319
3 369,279 390,278 367,319 388,319
2 392,278 414,277 390,319 413,318
9 416,276 439,275 415,318 438,318
plate 280,269 444,259 272,331 444,331
22 56,72 72,70 74,100 90,99
19 74,69 93,67 92,99 111,99
16 94,67 116,64 112,99 133,98
3 127,62 153,59 143,98 168,97
0 157,58 188,54 171,97 200,96
8 191,54 228,49 202,96 236,95
6 233,49 279,43 241,95 281,94
plate 45,59 292,15 77,107 294,106
