32 45,287 74,292 30,360 63,361
19 77,292 104,297 65,362 95,363
28 106,297 129,301 97,363 123,364
5 140,303 161,307 134,365 157,366
5 163,307 182,310 159,366 179,367
4 184,311 201,314 181,367 200,368
4 202,314 218,316 201,368 218,368
plate 46,261 223,299 22,382 223,384
10 343,156 358,157 348,184 362,184
21 359,157 373,157 363,184 376,185
20 375,157 388,158 378,185 391,185
7 393,158 406,159 396,185 408,185
6 407,159 420,159 409,185 421,185
0 422,159 434,160 423,185 434,185
8 434,160 446,160 435,185 446,185
plate 340,144 449,150 349,192 449,192
