28 94,47 105,46 98,67 108,67
28 106,46 117,46 109,67 120,67
17 119,46 131,45 122,67 133,67
4 136,45 148,44 138,67 150,67
5 149,44 162,43 151,67 164,66
1 165,43 179,42 166,66 179,66
1 180,42 194,41 181,66 195,66
plate 92,38 198,31 98,73 198,73
19 325,134 333,134 323,149 331,149
13 334,134 342,133 332,149 340,149
26 342,133 350,133 340,149 348,149
0 353,133 362,132 352,149 361,149
7 363,132 371,132 362,149 370,149
1 372,132 382,131 371,149 381,149
6 383,131 391,131 382,149 391,148
plate 326,128 395,123 322,154 395,154
