29 315,79 330,80 318,111 333,112
22 332,80 346,82 334,112 348,112
24 348,82 362,83 351,112 364,112
5 367,84 380,85 369,113 381,113
9 381,85 392,86 382,113 393,113
7 394,86 405,87 395,113 405,113
7 406,87 416,88 406,113 416,114
plate 312,65 418,78 318,120 418,121
11 37,271 68,275 48,333 77,334
16 70,276 98,279 79,334 105,335
15 101,280 126,283 107,335 131,336
2 136,285 158,288 140,337 161,337
5 160,288 180,291 163,337 182,338
8 181,291 200,293 183,338 201,339
3 201,293 218,296 202,339 218,339
plate 28,243 222,278 48,349 222,351
