23 92,118 97,117 87,129 93,129
22 98,117 104,116 93,129 99,129
11 104,116 111,115 99,129 106,129
4 114,115 122,114 110,129 118,128
2 122,114 130,113 119,128 127,128
3 131,112 141,111 128,128 139,127
2 143,111 153,109 141,127 152,127
plate 94,114 157,102 85,133 157,132
11 244,263 272,266 233,329 262,330
29 274,266 301,269 265,330 293,331
24 303,270 326,272 295,331 321,332
8 337,273 359,276 332,332 356,333
8 361,276 381,279 358,333 379,334
0 384,279 402,281 381,334 401,334
4 404,281 422,283 403,334 421,335
plate 244,238 427,265 225,349 427,350
