31 309,205 330,206 297,252 319,253
11 332,206 352,206 321,253 343,253
26 354,207 373,207 345,253 366,253
3 382,208 400,208 375,253 395,254
5 402,209 420,209 397,254 417,254
3 422,209 440,210 419,254 438,254
7 442,210 459,211 440,254 458,254
plate 312,188 463,196 291,267 463,268
26 33,298 45,296 19,325 32,324
10 47,296 60,294 33,324 47,323
33 61,293 77,291 49,323 65,323
9 84,290 101,287 72,322 91,321
6 103,287 123,284 93,321 115,320
9 125,284 149,280 117,320 143,319
1 151,280 178,276 146,319 176,318
plate 37,288 185,261 14,333 184,331
