31 106,452 126,453 93,502 116,502
25 128,454 147,455 118,502 139,503
32 149,455 167,457 141,503 160,503
5 174,458 191,459 168,504 187,504
3 193,459 208,461 188,504 206,505
6 210,461 225,462 207,505 223,505
6 227,462 241,464 225,505 240,505
plate 108,435 245,450 87,516 244,516
16 203,52 236,55 219,118 249,118
23 239,55 271,58 252,118 281,119
17 273,58 301,60 283,119 309,119
6 314,61 341,64 321,120 346,120
0 343,64 367,66 348,120 370,121
6 370,66 393,68 373,121 395,121
7 395,69 416,70 396,121 416,122
plate 192,23 422,49 219,134 422,135
