22 367,145 385,148 360,190 379,190
13 387,148 405,150 382,191 400,191
31 406,150 422,153 401,191 418,192
5 428,153 442,155 425,192 439,192
8 443,155 456,157 441,193 454,193
4 458,157 470,159 456,193 469,194
8 471,159 482,160 470,194 482,194
plate 368,129 485,149 355,203 485,204
20 49,106 74,108 43,161 69,161
21 76,108 100,109 71,161 96,161
13 102,109 124,110 98,161 121,162
2 135,111 156,112 132,162 154,162
8 158,112 179,113 156,162 177,163
2 181,114 200,115 179,163 199,163
7 203,115 221,116 202,163 221,163
plate 48,85 226,98 40,176 226,177
