21 35,377 68,382 41,446 73,447
30 70,382 100,387 75,447 103,448
32 102,387 127,391 106,449 130,449
0 139,393 161,396 141,450 163,451
8 163,396 184,399 165,451 185,452
9 185,400 204,402 186,452 204,452
2 206,403 223,405 207,452 223,453
plate 29,347 227,386 40,464 227,466
17 218,176 229,175 226,198 237,198
33 231,175 244,174 238,198 251,197
14 245,174 260,172 252,197 266,197
4 267,171 282,170 272,197 287,197
9 284,170 302,168 289,197 305,196
7 304,168 325,166 308,196 327,196
5 326,166 349,163 328,196 350,195
plate 213,167 356,148 226,204 356,203
