21 54,409 70,410 61,443 76,444
26 72,410 88,411 78,444 93,444
24 90,411 106,412 95,444 110,444
9 113,412 128,413 116,444 130,444
2 129,413 143,414 131,444 145,444
5 144,414 158,415 146,444 159,445
6 160,415 172,416 161,445 172,445
plate 48,395 176,404 60,452 176,452
16 322,178 329,177 318,193 325,192
31 330,176 338,175 326,192 334,192
14 339,175 348,174 336,192 345,192
9 352,173 363,172 349,191 360,191
1 364,171 376,170 361,191 374,190
2 378,169 393,167 376,190 391,190
0 394,167 411,165 392,190 410,189
plate 323,172 415,155 316,197 415,196
