30 98,43 116,41 88,82 107,82
33 117,41 136,40 109,81 129,81
11 138,40 157,39 130,81 150,81
3 167,38 187,37 161,81 182,80
8 189,37 212,35 184,80 208,80
9 214,35 236,34 210,80 234,79
7 239,34 263,32 237,79 263,79
plate 100,28 270,14 84,93 270,93
30 242,162 259,160 224,202 242,201
24 261,159 280,157 245,201 264,200
14 281,157 302,155 266,200 288,200
4 311,154 334,151 298,199 323,199
6 337,151 362,148 326,198 353,198
6 364,148 391,145 355,198 385,197
2 394,144 424,141 389,196 423,195
plate 246,148 433,121 217,214 432,213
