13 80,406 90,405 88,426 98,426
16 92,405 103,404 100,426 110,426
20 105,404 118,403 112,425 125,425
9 124,402 139,401 130,425 144,425
0 140,401 157,399 145,425 161,424
0 158,399 176,398 162,424 179,424
5 179,397 198,396 181,424 198,424
plate 75,398 204,383 89,431 204,431
13 240,101 268,106 234,165 263,166
21 270,106 295,111 265,166 291,167
18 297,111 319,115 293,168 316,169
1 327,116 346,120 325,169 344,170
7 348,120 365,123 346,170 364,171
3 367,123 382,126 366,171 382,172
0 384,126 398,129 383,172 398,172
plate 240,77 401,113 229,183 401,185
