11 69,392 86,390 64,425 81,425
26 87,390 105,389 83,425 100,425
16 106,389 125,387 102,425 121,424
1 133,387 153,385 129,424 150,424
4 155,385 176,383 152,424 174,423
3 178,383 201,381 176,423 200,423
4 203,381 228,379 202,422 227,422
plate 70,379 234,363 62,435 234,434
25 84,156 91,155 87,171 94,171
23 92,155 101,154 95,171 103,170
12 102,154 111,153 104,170 113,170
7 116,153 126,152 118,170 127,170
2 127,152 139,150 128,170 140,170
2 140,150 153,149 141,169 153,169
6 154,149 169,147 155,169 169,169
plate 82,150 172,139 86,174 172,173
