17 163,58 178,60 160,92 175,93
16 179,60 193,62 176,93 190,93
17 195,62 207,64 193,93 205,94
9 212,65 223,66 211,94 222,94
9 224,66 234,68 223,94 233,95
5 236,68 245,69 235,95 245,95
6 246,69 255,70 246,95 255,96
plate 164,45 257,61 157,102 257,103
25 85,462 94,461 75,485 85,485
24 96,461 105,460 86,484 97,484
32 107,460 118,459 99,484 111,484
1 123,458 136,457 116,484 130,483
9 136,457 149,456 131,483 145,483
0 150,456 164,455 146,483 162,483
5 166,455 180,454 164,483 179,482
plate 87,454 185,444 70,492 184,491
