26 54,51 73,53 43,96 65,97
15 74,53 93,55 66,97 86,97
23 94,55 111,57 87,97 106,98
2 118,57 133,59 114,98 130,99
1 135,59 149,60 132,99 147,99
3 151,61 164,62 149,99 163,100
1 166,62 178,63 164,100 178,100
plate 55,34 182,50 37,110 182,111
15 225,213 241,212 232,243 247,243
31 242,212 259,211 248,243 265,242
10 260,211 278,210 266,242 283,242
5 286,210 304,209 290,242 308,242
0 306,209 325,208 310,242 328,242
4 327,208 347,207 330,241 349,241
2 350,207 370,206 351,241 371,241
plate 221,200 377,189 232,250 377,250
