13 49,60 67,63 39,108 60,109
14 70,64 87,67 63,110 82,110
30 88,67 104,70 83,111 100,111
3 111,71 123,74 107,112 121,112
5 125,74 137,76 123,112 135,113
5 138,77 150,79 137,113 149,114
5 150,79 161,81 149,114 160,114
plate 50,42 163,69 33,123 163,124
16 212,125 228,128 205,167 223,168
31 231,128 245,131 225,168 241,169
31 247,131 261,134 243,169 258,170
2 267,135 279,137 264,170 277,171
0 280,137 291,139 278,171 290,172
0 292,139 302,141 291,172 301,172
4 303,142 312,143 303,172 312,173
plate 212,109 314,133 200,180 314,181
