15 51,123 65,121 62,147 75,146
17 66,121 82,118 77,146 92,146
25 84,118 101,116 94,146 111,145
3 111,114 132,111 120,145 141,144
8 135,111 161,107 143,144 168,143
6 164,107 195,103 171,143 200,142
5 199,102 237,97 204,142 239,141
plate 45,112 248,74 63,153 249,152
25 192,268 203,267 201,288 212,288
22 205,267 216,266 213,288 224,287
28 218,265 231,264 226,287 239,287
1 238,264 253,263 244,287 258,287
0 254,262 270,261 259,287 275,286
6 271,261 290,259 276,286 292,286
8 292,259 311,258 295,286 312,286
plate 187,259 317,245 202,293 317,293
