29 67,132 90,131 58,182 82,181
10 92,131 115,130 84,181 108,181
27 117,130 141,129 110,181 135,181
0 152,129 177,128 147,181 172,181
0 179,128 205,127 175,180 202,180
1 207,127 233,126 204,180 231,180
2 236,126 262,125 234,180 262,180
plate 68,113 270,104 53,196 270,196
30 368,283 392,285 375,330 398,330
27 393,285 415,288 399,330 420,331
11 417,288 437,289 421,331 441,331
8 446,290 464,292 449,331 466,332
7 466,292 482,294 468,332 484,332
6 484,294 500,295 486,332 500,333
2 501,295 516,297 502,333 516,333
plate 362,262 520,281 375,342 520,342
