30 67,438 98,441 80,501 108,501
23 100,441 131,443 111,501 139,502
14 133,443 161,445 141,502 167,502
8 173,446 199,448 179,502 204,503
3 201,448 226,449 206,503 229,503
1 229,450 252,451 231,503 253,504
5 254,451 275,453 255,504 276,504
plate 58,411 282,432 79,517 282,517
26 130,315 146,313 142,344 158,343
33 147,313 166,310 160,343 178,343
19 168,310 188,308 180,343 199,342
4 198,306 224,303 209,342 233,341
8 226,303 254,300 235,341 262,341
4 258,299 291,295 265,340 296,340
1 294,295 332,290 299,340 334,339
plate 122,303 345,266 144,351 345,350
