18 71,138 94,142 59,196 85,198
19 96,142 117,146 87,198 110,199
30 119,146 138,149 112,199 132,200
4 145,151 161,153 140,200 158,201
4 163,154 178,156 160,201 176,201
0 179,156 193,159 177,202 192,202
4 195,159 207,161 194,202 207,203
plate 72,119 210,147 53,212 210,214
32 163,251 188,254 172,299 195,300
17 189,254 212,256 196,300 218,300
14 213,256 234,258 219,300 238,301
5 243,259 261,261 247,301 264,301
7 263,261 279,263 266,301 281,302
9 281,263 297,265 283,302 298,302
5 299,265 313,266 300,302 313,303
plate 156,229 317,251 172,311 317,312
