26 37,302 58,304 41,348 61,348
25 61,304 80,307 63,348 83,349
24 82,307 100,310 84,349 101,349
8 107,310 122,312 109,350 123,350
1 124,313 138,314 125,350 139,351
4 140,315 153,316 140,351 154,351
8 154,316 167,318 154,351 167,351
plate 33,282 170,305 39,360 170,360
23 374,117 382,116 367,135 375,135
16 383,116 392,114 376,134 385,134
32 393,114 403,113 386,134 397,134
7 408,112 420,110 402,133 415,133
6 421,110 435,108 416,133 431,132
6 436,108 452,105 432,132 449,131
0 454,105 472,102 452,131 471,130
plate 376,111 478,92 364,140 477,139
