30 83,437 91,436 86,452 94,452
14 92,436 101,436 95,452 103,452
33 101,436 109,435 103,452 111,452
7 114,435 123,435 115,452 124,451
0 124,435 133,434 125,451 134,451
2 134,434 144,434 135,451 145,451
2 145,434 155,433 146,451 155,451
plate 80,430 158,425 86,456 159,456
23 252,100 267,97 238,134 254,134
21 269,97 286,95 256,134 274,133
19 288,94 307,92 275,133 295,132
8 317,90 339,87 305,132 329,131
8 342,86 368,83 332,130 360,129
4 370,82 399,78 362,129 394,128
1 403,77 437,72 398,128 436,126
plate 255,87 448,52 232,145 447,143
