22 53,62 84,66 63,125 92,126
16 87,67 115,71 94,126 120,127
29 117,71 142,74 123,127 146,128
0 152,76 173,79 155,128 176,129
1 175,79 195,82 178,129 197,130
5 197,82 214,85 198,130 215,130
3 216,85 232,87 217,130 233,131
plate 46,34 236,70 63,141 236,142
29 218,25 233,24 225,54 240,54
13 235,24 251,22 242,54 257,54
11 253,22 270,20 259,54 276,53
5 278,20 298,18 284,53 302,53
7 300,18 322,16 305,53 325,52
7 324,16 347,14 327,52 350,52
0 350,14 376,11 352,52 377,51
plate 213,14 383,-4 225,61 383,60
