15 36,316 72,320 53,388 86,389
25 76,320 109,323 90,389 120,390
13 112,323 143,326 122,390 151,390
1 156,327 184,330 163,391 189,391
9 187,330 213,333 192,391 217,392
9 215,333 240,335 219,392 242,392
5 242,335 265,338 244,392 266,393
plate 24,284 271,314 53,406 271,407
31 126,171 138,171 131,193 142,193
20 139,172 150,172 143,193 154,193
32 150,172 161,173 154,193 164,193
8 165,173 175,174 168,193 177,194
4 176,174 184,175 178,194 185,194
5 185,175 194,175 186,194 195,194
1 195,175 202,176 196,194 202,194
plate 122,160 205,167 132,198 205,199
