28 43,101 69,103 32,162 59,162
16 71,103 96,105 62,162 89,163
18 98,105 122,107 91,163 116,163
3 132,107 155,109 127,163 151,164
4 157,109 178,111 153,164 175,164
8 180,111 200,112 178,164 199,165
0 202,112 221,114 200,165 221,165
plate 44,79 227,95 25,180 226,180
13 249,399 257,399 251,415 259,415
28 258,399 267,398 260,415 269,415
18 267,398 276,398 269,415 278,415
8 280,398 289,398 281,415 291,415
2 290,398 299,397 292,415 300,414
9 300,397 310,397 301,414 311,414
5 311,397 320,397 312,414 320,414
plate 247,392 324,388 251,419 324,419
