13 76,89 88,87 70,113 82,113
31 90,86 103,84 84,113 98,112
24 105,84 120,82 99,112 115,111
8 127,81 146,78 122,111 142,110
1 148,77 170,74 144,110 166,109
8 172,74 198,70 168,109 195,108
7 200,70 231,65 198,108 230,107
plate 77,79 239,48 67,121 238,119
15 131,177 143,175 115,203 126,203
23 144,175 158,172 127,203 141,202
17 159,172 174,168 142,202 158,201
9 182,167 202,163 166,200 187,199
6 204,163 227,158 189,199 214,198
0 230,157 258,152 218,197 249,195
7 261,151 296,144 252,195 293,193
plate 136,168 309,126 109,212 307,209
