25 82,334 91,333 88,348 96,348
12 92,333 100,333 97,348 105,348
27 100,333 110,332 105,348 114,348
5 114,332 124,332 118,348 127,348
4 125,332 134,331 128,348 136,348
2 135,331 146,331 137,348 148,348
6 147,330 158,330 149,348 158,348
plate 79,327 161,321 89,352 162,352
15 133,145 162,148 127,213 157,213
10 166,148 194,150 161,214 190,214
14 196,150 222,153 192,214 219,215
2 234,154 259,156 231,215 257,215
5 262,156 285,158 260,216 284,216
1 287,158 309,160 285,216 308,217
0 311,160 333,161 311,217 332,217
plate 132,119 338,140 121,232 338,233
